Name,Party,Constituency,Date of Birth,Education,State,Term,Body
Mele Bukar,GNPP,Marchima/Yusufari,15/05/53,WASC; B.A. History and Political Science,Borno,1983 - 1983,house
Ngajiwa Hamza Miyin,GNPP,Biu,1940,Grade II Teacher's Cert; B.A. (Education),Borno,1983 - 1983,house
"Haruna, Jidda",GNPP,Monguno/Marte/Bo,April 1930,,Borno,1983 - 1983,house
Waba Agwama Apagan,NPN,Askira/UBA,18/10/1946,"Grade II Teacher’s Certificate; N.C.E, B.A. (Hons)",Borno,1983 - 1983,house
Adoga Charles Aleje,NPN,Ogoja,13/03/30,Sufficiently literate,Cross River,1983 - 1983,house
Idang Gordon J. Idang,GNPP,Etinan II,08/08/1939,"B.Sc. Political Science, M.A, Ph.D",Cross River,1983 - 1983,house
Agbor Cornelius Okpa,NPN,Obubra,1941,B.A. (Hons.) History,Cross River,1983 - 1983,house
Akpabio Micheal,NPN,Uyo II,24/05/42,LL.B (Hons.),Cross River,1983 - 1983,house
Ekpo Edet Asuquo,NPN,Uyo III,1923,"Std. VI, Middle II",Cross River,1983 - 1983,house
Etienam Edet Bassey,NPN,Oron,22/01/38,Certificate in Industrial Relations,Cross River,1983 - 1983,house
Effiong Martin Okon,UPN,Oron III,12/06/25,Diploma in Agriculture,Cross River,1983 - 1983,house
Eddy Okon,NPN,Ikot Ekpene I,30/09/39,"Teacher's Grade II, Dip. Social Admin., GCE A/L",Cross River,1983 - 1983,house
Inyang Edet Udoh,NPN,Ikono,09/10/31,"B.A, (Econs, Law & Accountancy) ACA, FCA",Cross River,1983 - 1983,house
Ikpeme Okon,GNPP,Akamkpa,12/08/30,Teacher's Higher Elementary Certificate,Cross River,1983 - 1983,house
Ononokpono Effiong,UPN,Oron I,11/11/64,"Diploma Cooperative and Labour Mgt., Cert. Social Studies & Dev.",Cross River,1983 - 1983,house
Ojogu Ekok,NPN,Obubra,05/02/40,"Teacher's Grade II, Grade III M.Sc Political Science",Cross River,1983 - 1983,house
Okoi Lekam Ofem,NPN,Obubra,02/02/40,"LL.B. (Hons.), B.L.",Cross River,1983 - 1983,house
Ukpong M.B.,NPN,Abak,29/09/40,"M.Sc (Pub. Admin), MPA M.Sc (Pub. Admin), Ph.D",Cross River,1983 - 1983,house
Ukpong David Akpan,NPN,Itu,1947,"Teachers Grade II Cert., B.Sc (Pol. Sci)",Cross River,1983 - 1983,house
Ukpanah Akaninyene,NPN,Ukanafon II,12/08/34,"NPS, Diploma Pharmacy",Cross River,1983 - 1983,house
Utande Emmanuel Ada,NPN,Obodu,20/02/1943,"B.Sc (Hons), M.A, Ph.D",Cross River,1983 - 1983,house
,,,,,Cross River,1983 - 1983,house
Inoh Amos Alfred,,Ikot Abasi II,15/01/46,"City & Guilds, Certificate in Automobile Engineering",Cross River,1983 - 1983,house
Agbujoro Agya,NPN,Wukari,1940,Diploma in Education Planning & Admin.,Gongola,1983 - 1983,house
Amos Sunday,GNPP,Song,1943,Advance Certificate in Education,Gongola,1983 - 1983,house
Dikko Hamman,GNPP,Maiha,1939,,Gongola,1983 - 1983,house
M. G. Aeneas,UPN,Numan,05/01/18,,Gongola,1983 - 1983,house
Iliya Galiya Audu,NPN,,01/01/40,"WASC (Grade II), Diploma Journalism",Gongola,1983 - 1983,house
Gbo-Aondo David Hitler,GNPP,Takum,1949,Teachers Grade II,Gongola,1983 - 1983,house
Lanko Abdul-Kadiri,UPN,Sawa,1935,Teachers Grade II Certificate,Gongola,1983 - 1983,house
Mahmud Aliyu,NPN,Yola,1929,Business Admin.,Gongola,1983 - 1983,house
Mabrama-Jen Benson M.,UPN,Karimu Lamido,1936,Teachers Grade II Certificate,Gongola,1983 - 1983,house
Nzalak M. James,GNPP,Takum,1944,Teachers Grade II Certificate,Gongola,1983 - 1983,house
Saraso David Bate,UPN,Ganye,11/10/38,SSCE,Gongola,1983 - 1983,house
Vonti Yakoko Dominic,UPN,Zing,1938,Diploma (General Admin),Gongola,1983 - 1983,house
Agwu Agwu Nwogo,NPP,Ohozara,06/06/40,"Teacher's Grade III & II, NCE Certificate",Imo,1983 - 1983,house
Alu Samson Oko,NPP,Nkwerre/Amaigbo,17/04/38,"LL.B (Hons),B.L Degree",Imo,1983 - 1983,house
Chukwu Paulinus Umah,NPP,Ohaji/Egbema/Oguta,06/02/32,Std.VI,Imo,1983 - 1983,house
Eleke Onwu Paul,NPP,Ezinihitte,05/05/25,Diploma in Physical and Health Education,Imo,1983 - 1983,house
Ihekweazu S. M. C.,NPP,Nkwere/Amaigbo,10/09/37,Career Nurse,Imo,1983 - 1983,house
Kanu Empire Ndukaku,NPP,Ohuhu/Umokpara,23/05/44,"HND Business Studies, Dip. Purchasing & Supply",Imo,1983 - 1983,house
Nnaji Veronica Ogechi,NPN,Afkipo,01/01/40,"B.Sc Civil Eng'g, MBA",Imo,1983 - 1983,house
Cletus U. Nwokoro,NPP,Okigwe South,28/10/44,Teacher's Grade III & II Certificate,Imo,1983 - 1983,house
Obiara Chikwe,NPP,Owerri South,30/11/27,"B.Sc Chemistry, Ph.D Chemistry",Imo,1983 - 1983,house
Ochiama Tobias N.,NPP,Ikeduru,1944,Diploma in Building Engineering,Imo,1983 - 1983,house
Oke Oke Ukpo,NPP,Ohafia,1938,,Imo,1983 - 1983,house
Ogwe Kali Ogwe,NPP,Bende,31/12/37,"LL.B (Hons), B.L, Diploma in Religious Studies, Diploma Bus. Org. & Mgt",Imo,1983 - 1983,house
Oje Michael Amaechi,NPP,Ohaozara West,10/06/37,First School Leaving Certificate,Imo,1983 - 1983,house
P. C. Amadi,NPP,,24/06/39,"PAS, A.M.B.I.M",Imo,1983 - 1983,house
Zu'bairu Danjuma Alkali,NPP,Jema'a North,19/09/50,B.A Administration,Kaduna,1983 - 1983,house
Gajere Abuja Maisango,NPN,Kachia West,1940,Diploma in Education,Kaduna,1983 - 1983,house
Kantoma Bale Shimaze,NPN,Kaduna North,12/04/45,Diploma Textile Technology,Kaduna,1983 - 1983,house
Malumfashi Datti M. A.,PRP,Malumfashi,13/03/43,"Diploma in Accounting Cost Price, Budgeting and Investment Policy",Kaduna,1983 - 1983,house
Suleman Ibrahim S.,NPN,Lere,1931,Elementary I - IV,Kaduna,1983 - 1983,house
Umar Mohammed Kabiru,NPN,Kaduna South,1945,,Kaduna,1983 - 1983,house
Yunusa Abubakar,NPN,Charwai/Kauran,1944,Teacher's Grade II Certificate,Kaduna,1983 - 1983,house
Aliyu Adamu,PRP,Minjibir,15/01/48,Bachelor Education,Kano,1983 - 1983,house
Adamu Muktar,PRP,Dutse,1947,"Diploma in Poultry, Agric Production Husbandry",Kano,1983 - 1983,house
Adamu Sarki,PRP,Dawakin Kudu,04/04/39,HND Marketing and Public Administration,Kano,1983 - 1983,house
Gaya Yusufu Nadabo,PRP,Gaya North,24/08/38,Diploma in Treasury Accounting and Local Government Admin.,Kano,1983 - 1983,house
Tudun-Wada Muhammed A.,PRP,Waje/Nasarawa,16/11/48,,Kano,1983 - 1983,house
M. Mustapha,PRP,Rimingado,02/10/40,B.Sc (Hons) in Econs,Kano,1983 - 1983,house
Ibrahim Saidu,PRP,Kiyawa,25/06/44,"Diploma in Mining, Cert. in Mining",Kano,1983 - 1983,house
"Isyaku Kala,",PRP,Minjibir,20/08/49,Diploma in Secretariat Studies,Kano,1983 - 1983,house
Mustapha M. I.,PRP,Gaya South,,B.Sc Geography,Kano,1983 - 1983,house
Malufashi Datti Muhammed Aliyu,PRP,Malumfashini,13/03/43,Teacher's Grade II Cert.,Kano,1983 - 1983,house
Abodunde S. Bamidele,UPN,Oyi,06/01/37,"B.A (Hons) PGD, Dip in French",Kwara,1983 - 1983,house
Ayodeji Isaac Olaleru,UPN,Oyun,06/01/46,"B.A. History & Philosophy, M.Ed",Kwara,1983 - 1983,house
Ibn-Mohd M. Yusuf,UPN,Moro,08/08/51,Certificate & Diploma in French,Kwara,1983 - 1983,house
Inuwa Musa,GNPP,Borgu,02/03/34,Northern Dispenser Cert. Pharmaceutical Chemist Diploma,Kwara,1983 - 1983,house
Lawal Adewara Toyin,UPN,Oyun,08/08/48,B.Sc (Hons) Political Sc.,Kwara,1983 - 1983,house
Mohammed Omo-Eko S.,NPN,Ilorin,20/01/28,Diploma in Educational Administration,Kwara,1983 - 1983,house
Obaoye Peter Olayemi,UPN,Irepodun,06/12/44,UCTA Sales Diploma,Kwara,1983 - 1983,house
Yunusa Folorunsho Ayinla,,Asa,17/03/40,B.Sc Sociology,Kwara,1983 - 1983,house
Umaru Abdullahi,NPN,Kogi,,Diploma in Secretarial Studies,Kwara,1983 - 1983,house
Adesida Samuel Osabiya,UPN,Somolu,06/01/31,SSCE,Lagos,1983 - 1983,house
Badejo Theophilus Oludotun,UPN,Mushin Central I,29/03/36,"Grade Teacher's Certificate, LL.B (Hons) B.L",Lagos,1983 - 1983,house
Babatope Biola,UPN,Mushin,29/09/47,B.Sc Geology,Lagos,1983 - 1983,house
Olusi Tajudeen Oluyole,UPN,Lagos South,13/10/36,GCE O/Level,Lagos,1983 - 1983,house
Akinboro Olumuyiwa,UPN,Abeokuta II,26/04/36,Teacher's Grade III Cert.,Ogun,1983 - 1983,house
Mako Adeyinka,UPN,Etina II,11/09/18,"Teacher's Diploma, B.Sc Pure Science",Ogun,1983 - 1983,house
Bankole David Olayinka,UPN,Egbado/Ifonyi/Ilaro,28/08/26,"Grade II & I Teacher Certificate, GCE O/Level",Ogun,1983 - 1983,house
Ogunsiji Oladele,UPN,Egbado North,18/12/46,"B.Sc (Hons) Agric, Ph.D Agric. Science",Ogun,1983 - 1983,house
Oduntan Saula Akabi,UPN,Ifo-Otta,15/02/36,Industrial Relations Cert.,Ogun,1983 - 1983,house
Omidiji Fola,UPN,Egba-Alake,06/07/46,L.L.B,Ogun,1983 - 1983,house
O. Saliu Abagun Adisa,UPN,Ado/Igbesa/Ipokia,07/02/37,Part I Banking Diploma (Institute of Bankers),Ogun,1983 - 1983,house
Abegunde B. Joseph,UPN,Ekiti East,21/04/47,"B.A (Mass Com.) Certificate in Publishing,",Ondo,1983 - 1983,house
Fajobi Stephen Faji,UPN,Ekiti South,25/06/25,"LL.B, B.L",Ondo,1983 - 1983,house
Adu Emmanuel Dele,UPN,Ekiti North,04/04/40,B.Sc (Econs) Final Cert. of Institute of Charted Accountant,Ondo,1983 - 1983,house
Adeola Adebo,UPN,Ijero,06/04/39,B.Sc (Secondary Education),Ondo,1983 - 1983,house
Fagbamigbe Olaiya,UPN,Akure,22/08/28,SSCE O/L,Ondo,1983 - 1983,house
Kayode B. Emmanuel,UPN,Idanre Ifedore,03/06/39,Diploma in Adult Education & Community Development,Ondo,1983 - 1983,house
Olowu S. Ogunyele,UPN,Ikale,01/12/40,LL.B (Hons) B.L,Ondo,1983 - 1983,house
Olofinlade Olu,UPN,Ero South,27/08/33,LL.B (Hons.),Ondo,1983 - 1983,house
Owoseni J. Oladipupo,UPN,Ekiti South,28/02/29,National Certificate in Business Education,Ondo,1983 - 1983,house
Rotimi Akintunde,UPN,Ekiti North,25/11/40,B.Sc Political Science,Ondo,1983 - 1983,house
Abiona J. Adekola,UPN,Ifelodun East,25/12/33,B.A. (Hons.),Oyo,1983 - 1983,house
Adesina S. A.,UPN,Kajola,02/06/37,ACCA (Prelim.),Oyo,1983 - 1983,house
Adelu David Adeniyi,UPN,Ibadan East,03/06/31,Advance Diploma in Trade Union Organisation (ICFTU),Oyo,1983 - 1983,house
Afonja Abiodun,UPN,Oyo,23/11/39,B.Sc. (Maths) M.A. (Maths and Teaching),Oyo,1983 - 1983,house
Akande Debo,UPN,Ibadan North,09/06/38,LL.B,Oyo,1983 - 1983,house
Akintunde James Olajire,UPN,Oluyole,01/10/36,,Oyo,1983 - 1983,house
Akinloye Samuel Adeyemi,UPN,Ejigbo,27/10/30,"Grade III & II Teacher Certificates, Associate Diploma in Education",Oyo,1983 - 1983,house
Ayanbekun Moses Ayan,UPN,Oranmiyan South,22/04/30,Registered Nurse,Oyo,1983 - 1983,house
Dairo Amos Okunola,UPN,Odo-Otin,28/08/28,Teachers Grade II Certificate,Oyo,1983 - 1983,house
Opakanmi Johnson Oyedeiji,UPN,Irewole West,01/12/1928,GCE O/Level,Oyo,1983 - 1983,house
Kataiye Yanjue Lateef Bakere,UPN,Iwo,1939,,Oyo,1983 - 1983,house
Fatola Johnson Olasupo,UPN,Akinyele North,23/10/27,SSCE,Oyo,1983 - 1983,house
Labiyi Ladipo,UPN,Irewole East,15/06/19,Dip. In Business Org. & Mgt. & Certificate in Tax Admin,Oyo,1983 - 1983,house
Loasebikan Samuel G.,UPN,Ondo-Oshun,26/08/30,B.A. (Hons.) Modern History,Oyo,1983 - 1983,house
Olabode Buraimoh Olaniyi,UPN,Odo-Oshun,22/04/36,"B.Sc (Bus. Admin, Major in Accounts)",Oyo,1983 - 1983,house
Oyatobo Oluwole,UPN,Oyo South,25/04/1938,Degree in General Agriculture,Oyo,1983 - 1983,house
Oladepo Olaniyan,UPN,Ilobu,01/04/41,"Diploma in Trade Unionism; GCE (O/L) Class IV,",Oyo,1983 - 1983,house
Shiyanbola S. A.,UPN,Ede South,23/06/41,Ph.D Psychology,Oyo,1983 - 1983,house
Idakula Amos Bez,NPP,Keffi,11/06/49,"Bachelor of Theology, Post Graduate Diploma in Educational Psychology (PGCE)",Plateau,1983 - 1983,house
Laven John Lashat,NPP,Langtang,02/04/37,,Plateau,1983 - 1983,house
Mallo Josiah Yanu Maki,NPP,Akwanga,27/10/50,"HND Animal Science & Husbandry, B.A Education & Economics",Plateau,1983 - 1983,house
Shu'aibu Muh'd Danjuma,NPN,Langtang,30/12/42,,Plateau,1983 - 1983,house
Wetkum Felix Mimang,NPP,Mangu,1948,Grade I Teacher's Cert.,Plateau,1983 - 1983,house
Zakari Abdulkadiri,NPP,Wase,1938,Higher Diploma (General Agriculture),Plateau,1983 - 1983,house
Wodi Godwin Bekwele,NPP,Port-Harcourt II,27/01/32,B.Sc Business Admin.,Rivers,1983 - 1983,house
Nwala Ezebunwa O. Ajoku,NPP,Ikwere Etche,05/08/37,"B.A (Hons), Ph.D",Rivers,1983 - 1983,house
Princewill Dagogo,NPN,Degema I,16/01/40,(ACCA),Rivers,1983 - 1983,house
Sekibo James Taribo,NPN,Bonny II,28/12/44,"Diploma in Agriculture, M.B.B.S., M.Sc.",Rivers,1983 - 1983,house
"Asuk, Shem Ezekiel",NPN,Bonny 1,28/05/31,"Local Government Admin., LL.B (Hons) London",Rivers,1983 - 1983,house
Egberipou P. Idoubagha,NPN,Yenogoa,22/11/41,"Bachelor of Medicine, Bachelor of Surgery (BS) (FRCS)",Rivers,1983 - 1983,house
,,,,,Rivers,1983 - 1983,house
Sangha Prince J. S.,NPN,Bori 1,28/05/42,B.Sc (Bus. Admin) M.A (Public Administration),Rivers,1983 - 1983,house
Altine Tangaza Moh'ed,NPN,Tangaza,15/12/50,Teacher's Grade II Certificate,Sokoto,1983 - 1983,house
Bungudu Bello Dala,GNPP,Bungudu/Kotorkoshi,1940,Primary School Certificate,Sokoto,1983 - 1983,house
Bachaka Mohammadu,NPN,Argungu,12/04/38,"NCE, BA (Hons) History Dip. (Education Admin)",Sokoto,1983 - 1983,house
Gwadabawa Isiaku,PRP,Gabasawa,1942,"Teacher's Grade II, NCE",Sokoto,1983 - 1983,house
Gummi M. Aliyu,NPN,Gummi,1925,Teacher's Grade II Cert.,Sokoto,1983 - 1983,house
Ibrahim Dauda Tsdunga,NPN,Sakaba-Wasagu,1928,NA Primary School Cert.,Sokoto,1983 - 1983,house
Jega Garba,NPN,Jega East,1944,Local Govt. Admin. Cert. State II,Sokoto,1983 - 1983,house
Mafara Abdul Mumini,NPN,Talata/Mafara,11/11/51,OND General Agriculture,Sokoto,1983 - 1983,house
Rilwanu Isa,NPN,Gandi/Fakai,10/02/48,"Teacher's Grade II Cert., Certificate in Cooperative Studies",Sokoto,1983 - 1983,house
Shera Mohammadu,NPN,Birnin Kebbi,01/01/22,Diploma in Veterinary Science Diploma Animal Husbandry,Sokoto,1983 - 1983,house
Shuaib Ibrahim,NPN,Arewa-Dendi,1952,Secondary School Certificate,Sokoto,1983 - 1983,house
Sudan Ibrahim,NPN,Achida/Wurno,04/12/49,Stage II Administration and Accountancy Cert.; Teacher's Grade II Cert.,Sokoto,1983 - 1983,house
Yelwa Moh'd Abdullahi,GNPP,Yauri,20/07/37,"Teacher's Grade II Cert., Diploma in Public Admin.",Sokoto,1983 - 1983,house
Mac Onyemachi Nwulu,SDP,Abia South,5/12/32,Graduate School of Arts Science & Tech,Abia,1992 - 1993,senate
Emmanuel C. Nwaka,NRC,Abia North,28/01/58,"Bachelor of Law, Barrister in Law.",Abia,1992 - 1993,senate
Onyeka A. Okoroafor,NRC,Abia Central,1944,M.Sc (Engineering),Abia,1992 - 1993,senate
Hamman Bello Moh'd,NRC,Adamawa Central,10/06/50,Certified Accountants (FCCA),Adamawa,1992 - 1993,senate
T. B. Daniel,NRC,Adamawa Central,14/09/34,"Graduate in Admin, Diploma Public Admin.",Adamawa,1992 - 1993,senate
Paul Wampana,NRC,Adamawa North,1946,Graduate Teachers College,Adamawa,1992 - 1993,senate
Etang Edet Umoyo,NRC,Akwa Ibom South East,12/04/49,B.Sc (Sociology),Akwa Ibom,1992 - 1993,senate
Aniete Udo Okon,NRC,Akwa Ibom North East,,,Akwa Ibom,1992 - 1993,senate
Akaninyene Ukpanah,NRC,Akwa Ibom North-West,12/08/36,"Dip. Pharm, Phc, MPS & F.Inst",Akwa Ibom,1992 - 1993,senate
Matthias N. Chukwuma,NRC,Anambra South,January 28,"Bachelor of Law Degree, Barrister-at-Law",Anambra,1992 - 1993,senate
Ebenezer C. Ikeyina,SDP,Anambra Central,27/02/39,M.Tech,Anambra,1992 - 1993,senate
Chuba Okadigbo,SDP,Anambra North,12/12/41,Ph.D in Philosophy,Anambra,1992 - 1993,senate
Ibrahim Yakubu Lame,NRC,Bauchi Central,13/04/51,Ph.D (Education Administration),Bauchi,1992 - 1993,senate
Mohammed B. Katagun,NRC,Bauchi North,05/11/47,B.Sc (Medicine),Bauchi,1992 - 1993,senate
Moh'd Uba. Ahmed,NRC,Bauchi East,,,Bauchi,1992 - 1993,senate
Ameh Ebute,SDP,Benue South,16/05/46,Master of Law.,Benue,1992 - 1993,senate
Iyorchia Ayu,SDP,Benue North,1952,"B.Sc. in Sociology, M.A & Ph.D",Benue,1992 - 1993,senate
David Iornem,SDP,,15/08/49,"M.Sc., FIMC & Ph.D in Marketing Science, Advertising & Publicity",Benue,1992 - 1993,senate
Abba Hassan Sadig,SDP,Borno North,1954,"B.Sc. Education, Master Degree in Planning & Admin.",Borno,1992 - 1993,senate
Abubakar Mahdi,SDP,Borno South,01/1950,National Diploma in Personnel Management,Borno,1992 - 1993,senate
Ali M. Sheriff,NRC,Borno Central,,,Borno,1992 - 1993,senate
Patrick Offiong Ani,NRC,Cross River South,01/11/43,A fellow of the Institute Chartered Accountants,Cross River,1992 - 1993,senate
Liyel Olayinka Imoke,NRC,Cross River Central,10/07/61,B.A in Government & Politics & LL.B (Hons) & B.L,Cross River,1992 - 1993,senate
Paul Ukpo,NRC,Cross River North,,,Cross River,1992 - 1993,senate
D. K. Azinge,SDP,Delta North,06/11/34,"Graduate of Law, Economics & Politics",Delta,1992 - 1993,senate
W. O. Eradajaye,SDP,Delta Central,26/06/34,Ph.D in Business Administration,Delta,1992 - 1993,senate
F. S. Okpozo,SDP,Delta South,17/11/46,Intermediate Law Degree,Delta,1992 - 1993,senate
Albert Osumah Legogie,SDP,Edo North,22/01/47,Law and Public Admin,Edo,1992 - 1993,senate
Sunday O. Iyahen,SDP,Edo South,03/11/1937,Ph.D and Doctor of Science Degree (D.Sc),Edo,1992 - 1993,senate
John Oriaifo,SDP,Edo South East,18/10/41,Graduate in Medicine,Edo,1992 - 1993,senate
Polycap Ogbonna Nwite,SDP,Enugu East,01/06/41,SSCE,Enugu,1992 - 1993,senate
Ben Collins Ndu,NRC,,,,Enugu,1992 - 1993,senate
Fedelis C. Okoro,NRC,,,,Enugu,1992 - 1993,senate
Bright Nwanne,NRC,Owerri Zone,12/12/56,Bachelor Degree in Marketing,Imo,1992 - 1993,senate
Umar N. Maduagwu,NRC,Orlu Zone,14/02/45,M.Sc. Degree in Mining Engineering,Imo,1992 - 1993,senate
B. C. Agunanne,NRC,Okigwe Zone,16/01/1935,M. Ed Degree,Imo,1992 - 1993,senate
Musa B. Abdullahi Aujara,SDP,Jigawa Central,1958,Diploma in Educational Management,Jigawa,1992 - 1993,senate
Moh'd U. S. Magama,PDP,Jigawa East,,,Jigawa,1992 - 1993,senate
Ibrahim Musa Kazaure,SDP,Jigawa West,,,Jigawa,1992 - 1993,senate
Musa Bello,NRC,Kaduna Central,20/06/55,Business & Marketing Studies,Kaduna,1992 - 1993,senate
Tsoho Abubakar Ikara,NRC,Kaduna West,1950,National Diploma in Admin.,Kaduna,1992 - 1993,senate
Babale K. Maikarfi,SDP,Kaduna East,31/07/42,Master Degree in Educational Psychology,Kaduna,1992 - 1993,senate
Aminu Inuwa,SDP,Kano Central,1945,"Degree in Public Admin., M.Sc (Public Admin)",Kano,1992 - 1993,senate
Magaji A. Abdullahi,SDP,,,,Kano,1992 - 1993,senate
Isa Kachoko,NRC,Kano South,15/01/40,Diploma in Personnel Management,Kano,1992 - 1993,senate
Abu Ibrahim,NRC,Kastina South,28/10/45,B.Sc & M.Sc in Economics,Katsina,1992 - 1993,senate
Ibrahim A. Safana,SDP,Katsina Central,,Public Administration,Katsina,1992 - 1993,senate
Kanti Bello,,Katsina North,"January, 1945",Bachelor of Engineering Degree,Katsina,1992 - 1993,senate
Aliyu Mohammed Nassarawa,NRC,Kebbi Central,09/10/39,Graduate from School of Nursing,Kebbi,1992 - 1993,senate
Adamu Baba Augie,NRC,Kebbi North,16/04/40,Diploma in Journalism & Advance Diploma in Mass Communication,Kebbi,1992 - 1993,senate
Bala Tafidan Yauri,NRC,Kebbi South,01/03/37,HND in Building/Civil Engineering,Kebbi,1992 - 1993,senate
A. T. Ahmed,SDP,Kogi Central,29/05/43,Masters Degree in Engineering,Kogi,1992 - 1993,senate
Ahmadu Adah Ali,NRC,Kogi East,01/03/36,Post Graduate Degree (FRCP and MRCP),Kogi,1992 - 1993,senate
Sunday B. Awoniyi,NRC,Kogi West,30/04/32,Major in Geography and English,Kogi,1992 - 1993,senate
Ayinla Olomada,SDP,Kwara Central,19/11/1936,Diploma in Public Admin.,Kwara,1992 - 1993,senate
Michael Adebisi Oyewo,SDP,Kwara South,04/03/40,Studied Textile,Kwara,1992 - 1993,senate
Idris Gunu Haliru,SDP,Kwara North,1940,HND in Local Government Administration,Kwara,1992 - 1993,senate
Tinubu Bola,SDP,Lagos West,29/03/52,Graduate,Lagos,1992 - 1993,senate
Kofo Bucknor Akerele,SDP,Lagos Central,,Diploma in Journalism,Lagos,1992 - 1993,senate
Anthony Adefuye,SDP,Lagos East,14/09/44,B.Sc in Mechanical Engineering,Lagos,1992 - 1993,senate
Dangana Ndayako,NRC,Niger South,21/11/50,B.Sc Degree in Business Administration,Niger,1992 - 1993,senate
Haliru Dantoro,NRC,Niger North,1938,,Niger,1992 - 1993,senate
Idris Kuta Ibrahim,NRC,Niger,01/10/42,S. W. Essex Technical College London (1963-67),Niger,1992 - 1993,senate
Jubril Martins-Kuye,SDP,Ogun East,16/09/42,"B.Sc Sociology, PGD Education",Ogun,1992 - 1993,senate
Solomon A. Otegbola,SDP,Ogun West,14/12/32,,Ogun,1992 - 1993,senate
Monsurudeen Osholake,SDP,Ogun Central,,,Ogun,1992 - 1993,senate
Olawole Julius Adewumi,SDP,Ondo North,14/09/42,Master of Business Admin.,Ondo,1992 - 1993,senate
Oluremi Okunrinboye,SDP,Ondo East,11/10/53,,Ondo,1992 - 1993,senate
Adebiyi A. Adekaye,SDP,Ondo South,15/01/39,HND in Business Admin.,Ondo,1992 - 1993,senate
Segun O. Bamigbetan,SDP,Osun East,,Majored in Education,Osun,1992 - 1993,senate
Olu Alabi,SDP,Osun Central,18/03/44,B.Sc (Medicine),Osun,1992 - 1993,senate
Omilani O. Oladimeji,SDP,Osun West,18/07/36,,Osun,1992 - 1993,senate
Rashidi Adewolu Ladoja,SDP,Oyo South,25/10/44,Bachelor's Degree in Chemical Engineering,Oyo,1992 - 1993,senate
Wande Abimbola,SDP,Oyo Central,26/06/36,"B.A in History, M.A in Logistics & Ph.D in Yoruba Literature",Oyo,1992 - 1993,senate
Ayantayo Ayandele,SDP,Oyo North,08/11/36,Higher School Certificate,Oyo,1992 - 1993,senate
V. K. Dangin,SDP,Plateau East,30/09/39,Majored in Public and Business Administration,Plateau,1992 - 1993,senate
Jacon Adankana Isandu,SDP,Plateau North,,"Bachelor of Econs Degree HND in Business Studies, Advance Diploma in Pub. Admin",Plateau,1992 - 1993,senate
Joseph K. Umaru,SDP,,,,Plateau,1992 - 1993,senate
Bennett Birabi,NRC,River,29/07/50,Graduate in Medicine,Rivers,1992 - 1993,senate
Ngoji John Denton-West,NRC,Rivers South East,12/12/50,Graduate in Medicine,Rivers,1992 - 1993,senate
Felix O. Oboro,NRC,Rivers West,07/02/46,"GCE A/Level, Member of Inst. of Personnel Mgt.",Rivers,1992 - 1993,senate
Landan A. Shhuni,NRC,Sokoto South,20/12/46,Graduate of Education & Politics,Sokoto,1992 - 1993,senate
Saidu M. Idirisu,NRC,Sokoto East,14/04/49,Diploma in Business,Sokoto,1992 - 1993,senate
Garba Ilah Gada,NRC,Sokoto North,09/06/46,Certificate in Commerce,Sokoto,1992 - 1993,senate
Utisere J. Yohanna,SDP,Taraba South,23/10/48,Graduate of Law,Taraba,1992 - 1993,senate
Ibrahim Goje Gassol,SDP,Taraba Central,08/1950,Works Training School,Taraba,1992 - 1993,senate
Abdullahi Kirim,SDP,Taraba North,1940,Bachelor of Library Science Degree,Taraba,1992 - 1993,senate
Adamu A. Nikau,SDP,Yobe South,15/09/1945,B.Sc. in Political Sc. & M.Sc in Public Admin.,Yobe,1992 - 1993,senate
Lawan Gana Guba,SDP,Yobe East,10/10/56,He read Engineering,Yobe,1992 - 1993,senate
Umar El-Gash Maina,SDP,Yobe North,10/1957,Graduate in Geography,Yobe,1992 - 1993,senate
Hassan A. H. Tadanyigbe,SDP,Federal Capital Territory,07/03/59,Degree in Geography & Regional Planning,Federal Capital Territory,1992 - 1993,senate
Chiekwe Esiaga Nze,SDP,Abia North,10/12/1955,Bachelors degree in Political Science,Abia,1992 - 1993,house
Adolphus N. Wabara,NRC,Ukwa-East,01/06/1948,Master Degree intel Relations,Abia,1992 - 1993,house
Omenihu Nwogwugwu,SDP,Aba South,04/03/1957,B.Sc Economics,Abia,1992 - 1993,house
Uzomah K. Anamah,NRC,Ikwano,17/04/1959,LL.B (Hons),Abia,1992 - 1993,house
Iheanacho B. Nwannunu,NRC,Isiala Ngwa South,25/07/1953,B.Sc in Pol. Science,Abia,1992 - 1993,house
O. N. Akomas,,Umuahia,12/09/1940,"B.Sc, A.C.A. & M.B.I.M",Abia,1992 - 1993,house
Nwokonko E. Chikezie,NRC,Isiala Ngwa North,05/08/1958,B.L,Abia,1992 - 1993,house
Gabriel Eni Otu,NRC,Afikpo North,03/07/1958,Diplomas in Local Govt. Admin. & Bus Admin.,Abia,1992 - 1993,house
Nnanna Ngwu,NRC,Arochukwu,05/04/1955,Read Petroleum Geology,Abia,1992 - 1993,house
D. O. Elebe,NRC,Onitcha,27/07/1960,Diploma in Marketing,Abia,1992 - 1993,house
Daniel Nmeme Enere,SDP,Ukwa West,10/02/1938,Doctor of Medcine,Abia,1992 - 1993,house
Chidi N. Maduekwe,SDP,Ohafia,15/10/1953,M.B.B.S,Abia,1992 - 1993,house
