Name,Party,Constituency,Date of Birth,Education,State
Onamusi Onadeko,AD,Ogun East,20/06/1960,HND in Petroleum Marketing,Ogun
Olabode Mustapha,AD,Abeokuta North/Odeba/ Obafemi-Owode,12/03/1950,Bachelors Degree in Business and Public Relations,Ogun
Olokun Babatunde,AD,"Remo (Sagamu, Ikeje, Remo North)",,"Doctoral Degree, Doctor of Jurisprudence in Law",Ogun
Collins Abayomi Sowande,AD,Ifo/Ewekopo,10/02/1950,"Bachelors Degree in Mech. Engineering, Petroleum Processing",Ogun
Amusa Suraj Adedeji,AD,Ijebu Ode/Odogbolu/ Ijebu North,09/09/1963,NCE in Business Education (Accountancy),Ogun
Ashamu Owolabi,AD,Imeko Afon/Yewa North,22/08/1963,SSCE Certificate,Ogun
Abraham Lanare Laoshe,AD,Abeokuta South,20/11/1956,Bachelors Degree in Agriculture,Ogun
Babwale Remi Rasheed,AD,Ado-Odo/Ota,17/11/1961,OND,Ogun
Akinnifesi Oladejo,AD,Ondo East/West,07/09/1957,Master of Business Administration Degree,Ondo
Sheba Abayomi,PDP,Irele/Okitipupa,02/03/1961,Masters Degree in Public Administration (MPA),Ondo
Fagbite Lawrence Akinyele,AD,Idanre/Ifedore,01/09/1937,NCE in Physical Health Education/English,Ondo
Rufus Akinwumi Omoseebi,AD,Akure North/South,02/07/1939,Associate Certificate in Education,Ondo
Busari Dada,AD,Akoko North East/ North West,,Bachelors Degree in Political Science,Ondo
Orimoloye Peter Saka,AD,Akoko South East/Akoko South West,27/12/1940,PH.D in Education,Ondo
Janet F. Ayo-Adeyemi,AD,Ile-Oluji Okeigbo/Odigbo,16/06/1959,Master Degree in Water and Waste Engineering,Ondo
Omotosho Michael,AD,Owo/Ose,10/08/1960,Masters Degree in Accounting,Ondo
Ishaq Adekola Alliyu,PDP,Ede North/South/Egbedore/Ejigbo,13/01/1959,Bachelor of Law Degree LL.B (Hons),Osun
Etteh Patrica Olubunmi,AD,Ayedaade/Isokan/ Irewole,17/08/1953,HND,Osun
Olugbenga Onigbogi,AD,"Atakumosa East/West, Ilesha East & West",18/11/1955,"B.Sc in Economics, ACA, FCA in Accountancy",Osun
Paul Oluyele Larinde,AD,Osogbo/Olorunda/ Irepodun/Orolu,04/06/1942,B.Sc (Hons) in Economics,Osun
Abioye Oyetunji,AD,Odo-Otin/Boripe/Ifelodun,12/04/1942,Bachelors Degree in Pharmacy,Osun
A. A. O. Idowu,AD,Boluwaduro/Ifedayo/Ila,12/12/1950,Ph.D in Educational Evaluation (Test & Measurement),Osun
Oluwatayo Rufas Idowu,AD,Obokun/Oriade,04/08/1947,Diploma in Law,Osun
Adewale Layade,AD,Ife/Cent/North/South & East/Local Govt.,18/02/1948,Bachelors Degree in Economics & Urban Plan,Osun
Kehinde Olufemi Lawrence,AD,Ayedire/Iwo/Ola-Oluwa,03/11/1959,Bachelor of Law Degree/LL.B (Hons) B.L,Osun
Ojegoke Rafiu Oladeni,AD,Ibarapa Central/ Ibarapa North,01/08/1958,HND in Building Technology,Oyo
Adeniyi Tajudeen Ademola,AD,Iseyin/Kajola/Iwujola/Itesiwaju,23/02/1963,Bachelors Degree in Law,Oyo
Lateef Durojaiye Gbadamosi,AD,Oluyole Local Govt.,21/06/1942,OND & Certificate in Nursery Education,Oyo
Sheik Mudathir Sekoni,AD,Irepo/Olurunssogo/ Dorelope,10/10/1953,HND Business Administration/ Management Studies,Oyo
Babatunde Oduyoye,AD,Ibadan North West/ South West,01/10/1963,Bachelors of Science Degree in Psychology,Oyo
Adebola Lateef Alli,AD,Lagelu/Akinyele,18/04/1943,Diploma in Mass Communications,Oyo
Taiwo Dale Oluwasegun,AD,Oyo Alafin,04/10/1958,Master Degree - Car Post Graduate Diploma in Journalism,Oyo
Adedeji Kazeem Adeshile,AD,Ibadan North-East/ South-East,February 22,Masters Degree in Philosophy,Oyo
Adekunle Jenrade Kareem,AD,Ona-Ara/Egbeda,03/07/1950,Masters Degree in Nutritional & Industrial Biochemistry,Oyo
Adibi Temilola Segun,AD,Ogbomosho/North/ South/Orire,30/04/1960,HND in Mining Engineering,Oyo
Alli Balogun,AD,Ibadan North,17/12/1941,Post Graduate Diploma in Journalism,Oyo
Folaranmi Oyebanji Simeon,PDP,Ogo-Oluwa/Surulere,16/04/1964,Bachelors Degree 2nd Class Upper Division in Philosophy,Oyo
Sanusi Sadiq Anwo,PDP,Ibarapa East/Ido,09/06/1938,CCA (1965),Oyo
Adesiyan Ajani Hussain,AD,Atisbo/Saki East/ Saki West,25/03/1967,HND Agronomy,Oyo
Barminas Ali Yilkes,PDP,Mangu/Bokkos,18/05/1955,Masters Degree in Feedmill Technology,Plateau
Lar Rampyal Victor,PDP,Langtang North & South,25/06/1961,Bachelors Degree in English,Plateau
Yero Bello Ibrahim,PDP,Wase,09/02/1962,NCE (Technical),Plateau
Daniel Sunday Dung,PDP,Jos South/East,08/02/1953,Diploma in Business Administration,Plateau
Isa Chungwom Song,PDP,Barkin Ladi/Riyom,04/06/1962,Master Degree in International Relations & Strategic studies,Plateau
"Damulak, J. Muhammed",PDP,Mikang/Quan/Pan/ Shendam,07/11/1963,Bachelor Degree in Civil Engineering,Plateau
Lumumba Dah Adeh,PDP,Bassa/Jos North,20/01/1962,HND in Civil Engineering,Plateau
Josiah Binuwai Gobum,PDP,Pankshin/Kanke/Kanam,26/02/1959,Bachelors Degree in Sociology,Plateau
Appolos E. Amadi,PDP,Ikwere/Emohua,24/10/1954,HND in Building Tech. & Architecture,Rivers
Austin Adiele Opara,PDP,Port Harcourt II,29/08/1963,(BSc.) in Marketing,Rivers
Young-Harry Adokiye,PDP,Asalga/Akulga,01/01/1961,Bachelor Degree in Political Science,Rivers
Tamunotonye Longjohn,PDP,Bonny/Degema,31/12/1957,Bachelor's Degree in Sociology,Rivers
Iwezor Jacob Nwala,PDP,Etche/Omuma,04/06/1946,Bachelor's of Law Degree & Master of Business Admin.,Rivers
Jefereys M. Owor,PDP,Adoni/Opobo/Nkoro,24/04/1954,Bachelor's Degree in History,Rivers
Wilson Asinobi Ake,PDP,Ahoada West/Ogba-Egbema-Ndoni,21/09/1955,Bachelor's Degree in Agric & Food Technology,Rivers
Mikko Bernard Barida,PDP,Khana/Gokana,07/05/1961,(BA) in Social Sciences (Politics),Rivers
Olaka Johnson Nwogu,PDP,Eleme/Tai/Oyigbo,26/01/1965,(MBA) in Management,Rivers
Oludi Edwin Ogouda,PDP,Obio/Akpor,,Secondary School Cert,Rivers
Promise I. T. Abibo,APP,Okrika/Ogu-Bolo,,Secondary School Cert,Rivers
Chibudom N. Nwuche,PDP,"Ahoaha East, Abua/Odual",30/09/1961,Bachelor of Law Degree,Rivers
Lasbry Amadi,PDP,Port/Harcourt,,Bachelor Degrees (BSC) in Mechanical Engineering,Rivers
Muhammed Arewa S.,APP,Gudu/Tangaza,1959,Secondary School Cert,Sokoto
Gatewa Sirajo Marafa,APP,Isa-Sabon-Birni,15/09/1957,Secondary School Cert.,Sokoto
Zakari Muh'd Shinaka,APP,Gorondo/Gada,30/06/1963,NCE,Sokoto
Zubairu S. Magori,PDP,Gwadaba/Illiza,1952,Secondary Sch. Ed. (GCE),Sokoto
Moh'd Arzika Tureta,PDP,Bodinga/Dange-Shuni/ Tureta,1959,Bachelor's of Education Degree Language Arts,Sokoto
Yabo Hassan Kiryo,PDP,Shagari/Yabo,1959,HND,Sokoto
Aliyu Umar Sanyinna,APP,Kebbe/Tabuwal,1954,GCE Advance Level,Sokoto
Ismaila Balarabe,APP,Sokoto South/North,20/03/1954,Grade II,Sokoto
Sule Yari Gandi,APP,Wurno/Rabah,21/05/1966,Master's Public Admin. (Under going MPA THESIS),Sokoto
Usman Mohammed,APP,Kware/Wamakko,15/05/1954,Master's Degree (MSC) in Economics,Sokoto
Dikko Mukhtar,ANPP,Binji/Silame,,Cert. in Salesmanship,Sokoto
Kuriya Tafarki Auta,PDP,Kurmi/Sardauna/ Gashaka,1960,Bachelor of Ed. Degree,Taraba
Khani Taura Titus,PDP,Karim Lamido/ Lau/Ardokola,12/07/1940,OND,Taraba
Abduleez Tonku,APP,Donga-Takun-Ussa,04/04/1952,HND in Agric Econs,Taraba
Dantani Sunswa,PDP,Ibi-Wukari,16/11/1964,OND,Taraba
Al-Hassan Al-Gaddas,PDP,Jalingo/Yorro/Zing,1965,HND/ADPA in Public Admin,Taraba
Dahiru Bako Gassol,PDP,Bali/Gassol,16/06/1955,HND in Community Health,Taraba
Jibrin Babale,PDP,Gulani/Gujba/ Damaturu/Tarmuwa,13/04/1960,Teacher Training College,Yobe
Suleiman Isiyaku,PDP,Fika/Fune,02/03/1964,Bachelor Degree in Econs,Yobe
Hassan Jonga,APP,Nangere/Potiskum,28/11/1960,HND (Soil & Water Eng),Yobe
Ahmad I. Lawan,APP,Bade/Jakusko,,Ph.D in Remote Sensing,Yobe
Almajir Geidam,APP,Bursari/Geidam/ Yunusari,16/01/1962,Doctor of Veterinary Med.,Yobe
Bello Shugaba,APP,Yusufari/Nguru/ Machina & Karasuwa,12/06/1967,OND in Public Admin.,Yobe
Sani Ibrahim R. Doruwa,APP,Bungudu/Maru,25/08/1965,Bachelor Degree in Botany,Zamfara
Bello Abubakar Moriki,APP,Zurmi/Shinkafi,26/03/1957,HND in Civil Eng/Transp,Zamfara
Lawali Ibrahim Godal,APP,Kaura Namoda/ Birni Magaji,January 1962,NCE,Zamfara
Makwashi Abubakar,APP,Bakura/Maradun,12/06/1946,NCE,Zamfara
Mohammed Sani,ANPP,Tsafe/Gusau,October 1951,Secondary School Cert.,Zamfara
Sahabi Aliyu,APP,Gummi/Bukkuyum,01/10/1960,Bachelor Degree in Ed (Arts),Zamfara
Sani Anka Mohammed,PDP,Anka/Mafara,04/08/1958,Diploma in Law,Zamfara
Yususf Usman B.,PDP,Kwali/ Gwagwalada/ Kuje and Abaji,09/09/1961,Master Degree in Agric. Business,Federal Capital Territory
Ukachukwu Nicholas,PDP,Bwari/Abuja Municipal,20/04/1960,Master in Bus. Admin.,Federal Capital Territory
