Name,Party,Constituency,Date of Birth,Education,State
Shem E. Asuk,NPN,Bonny I,28/05/31,"Diploma in Public Admin., L.L.B, B.L",Rivers
P. K. Atuwo,,Sagbama,,,Rivers
Tubo O. Bob-Manuel,NPN,Degema II,14/12/38,Diploma Institute of Transport,Rivers
P. I. Egberipou,NPN,Yenagoa,28/05/31,"L.L.B, Local Govt. Admin",Rivers
E. Ejoh,NPP,Port Harcourt I,24/04/40,,Rivers
Kemte Giadom,NPN,Bori II,23/07/26,,Rivers
Ingo Mac-Eteli,NPN,Brass,27/07/45,,Rivers
Victor I. Masi,,Ahoada,,,Rivers
Eze O. A. Nwala,NPP,Ikwere/Etche,05/08/37,"B.A (Hons), Ph.D",Rivers
Dagogo Princewill,,Degema I,16/01/40,ACCA,Rivers
J. S. Sangha,,Bori I,20/05/42,"B. Sc in Bus. Admin, M.A (Pub. Admin)",Rivers
J. Taribo Sekibo,,Bonny II,28/12/44,"Diploma Agric., M.Sc",Rivers
Godwin Wodi,NPP,Port Harcourt II,27/01/32,,Rivers
M. Mamman Altine,NPN,Taganza,15/12/50,Grade II Teachers Cert,Sokoto
M. Bachaka,,Argungu,,,Sokoto
Sani B. Dala Bungudu,GNPP,Bungudu-Kotorkoshi,1948,School Cert.,Sokoto
Atahiru M. Dakin-Gari,GNPP,Dakin-Gari,1932,,Sokoto
I. Daudu,NPN,Sakaba/Wasagu,1920,,Sokoto
Ashiru Ruwan Dorawa,GNPP,Anka,,,Sokoto
Umaru Aliyu Durbawa,NPN,Darbawa/Kware,05/06/54,,Sokoto
Usman Gada,,Gada,,,Sokoto
Umaru Garu,NPN,Goronyo,04/05/53,,Sokoto
Garba Gizori,GNPP,Tambawal,,,Sokoto
M. Aliyu Gummi,NPN,Gummi,1925,Teacher Grade II Cert.,Sokoto
Shehu Hamzat,NPN,Gwadabawa,30/12/51,,Sokoto
Garba Jega,NPN,Sokoto,1944,Local Govt Admin Cert.,Sokoto
M. Mijinyawa,NPN,Chafe,1944,,Sokoto
Abdullahi Mohammed,NPN,Zurmi-Moriki,,,Sokoto
Aliya Mohammed Rahab,,Illela,,,Sokoto
Isa Rilwanu,,Gandi/Fakai,10/02/40,Teacher Grade II Cert,Sokoto
Usman Sanni,,K/Namoda,,,Sokoto
Ali Na Alhaji Shehu,,Birni Kebbi,,,Sokoto
Mohammadu Shera,,Arewa-Dandi,,Diploma in Vet. Sci,Sokoto
Ibrahim Shuaibu,,Dunge-Shuni,,,Sokoto
Umaru A. Shuni,,Aghida/Wurno,,,Sokoto
Ibrahim Sudan,NPN,Maradun,04/12/49,Teachers Grade II,Sokoto
Ahawadu Wali Binji,NPN,Binji-Silame,,,Sokoto
Garba M. Tambari,NPN,Maradun,1957,,Sokoto
Ahmed T. Wamako,NPN,Cumbi-Wamakko,1925,,Sokoto
Maiturare Yabo,NPN,Yabo,12/12/48,,Sokoto
Mohammed A. Yelwa,GNPP,Yauri,20/07/1937,Teachers Grade II,Sokoto
Bello Mohammed,NPN,Illela,10/04/53,,Sokoto
Musa Abdullahi Jega,GNPP,Maiyawa,1952,,Sokoto
Sani Dandare Kalgo,NPN,Bunza-Kalgo,05/04/48,,Sokoto
Mohammadu Ladan,NPN,Bodinga,01/06/44,,Sokoto
Aliyu Lugga,NPN,Gusau,,,Sokoto
Abdulmumuni Mafara,NPN,Talata Mafara,11/11/51,OND General Agric,Sokoto
I. Gwadabawa,NPN,Gwadabawa,1943,"NCE, Teachers Grade II",Sokoto
