Name,Party,Constituency,Date of Birth,Education,State
Mohammed Samaila,NRC,Katsina,25/03/1957,Science Laboratory Technology,Katsina
Mohammed L. Nalado,NRC,Daura,,,Katsina
Samaila Lado,NRC,Kankai,,,Katsina
Idris Alti Kaita,NRC,Kaita,,,Katsina
Abdulranman Usman,NRC,Batagarawa,,,Katsina
Bashiru Isa Mani,SDP,Mani,,,Katsina
Garba Ahmed Giro,NRC,Suru,1952,"Grade II, Teacher's Cert.",Kebbi
Umar Abdullahi Yelwa,NRC,Yauri,1955,B.A Geography,Kebbi
Abdullahi Bena,NRC,Wasagu,12/06/1944,HND in Local Government Finance and Admin,Kebbi
Musa Garba Fana,NRC,Dandi,24/06/1959,Diploma in Science Laboratory,Kebbi
Samaila Nabame,NRC,Argungu,1945,Diploma in Education,Kebbi
Ibrahim M. Marafa,NRC,Dabai/Fakai,21/04/1938,Diploma in Education Planning & Administration,Kebbi
Ibrahim A. Kangiwa,NRC,Arewa,January 1957,"Bachelor's of Law, also Master of Law Degree",Kebbi
Ibrahim A. Gwandu,NRC,Gwandu,15/05/1946,Master Degree in Public Administration,Kebbi
Mohammadu S. Aliyu,NRC,Birnin Kebbi,25/03/1964,Diploma in Building Tech.,Kebbi
Saidu M. Kimba,NRC,Jega,June 1960,Obtained a Certificate in Agricultural Science,Kebbi
Mohammed Bawa Karaye,NRC,Mayiyama,01/03/1963,National Diploma in Irrigation,Kebbi
Mudi Abubakar Musa,NRC,Ngaski,06/09/1955,Bachelor's of Law Degree,Kebbi
Ahmed Abubakar Diggi,NRC,Bunza,1955,,Kebbi
Usman M. Madacci,NRC,Koko,July 1957,Bachelor's of Science in Accountancy,Kebbi
Make Aiza Isa,NRC,Sakaba,01/02/1948,Educated,Kebbi
Faruk Sillah,NRC,,,,Kebbi
Agamah Philip Audu,NRC,Ofu,25/03/1953,Degree in Quantity Surveying,Kogi
Musa Dauda Kam Salem,SDP,Lokoja,04/01/1954,NCE in Agriculture,Kogi
Jimoh Abdul Akpoti,SDP,Okehi,1949,Degree in Medicine,Kogi
M. I. Ayeni,NRC,Yagba East,10/06/1935,M.Ed. Ph.D,Kogi
Salihu Ohikwo Shaibu,NRC,Koton-Karfe,23/11/1962,B.Sc Bus. Admin. & Diploma in Banking,Kogi
Abdullahi Sadiq,SDP,Adavi,14/02/1960,B.Sc. in Political Science,Kogi
Sadig A. Mohammed,SDP,Ajaokuta,15/12/1959,"L.L.B, a B.L. & LL.M in Law",Kogi
Kayode Ige,NRC,Yagba West,05/03/1942,Degree in Veterinary,Kogi
Baba Danladi Atta,NRC,Dekina,September 1963,N.C.E in Agric. Science,Kogi
Ogba Linus Mohammed,NRC,Ankpa,15/04/1954,B.Sc. in Political Science,Kogi
Michael Omale Ogabor,NRC,Olamaboro,1947,B.Sc. in Education & Econs.,Kogi
Olorunleke O. Anthony,NRC,Kabba/Bunu,15/07/1961,Bachelor of Education Degree,Kogi
Salihu Ndanusa Dauda,NRC,Bassa,01/10/1954,,Kogi
Usman Asuku Sule-Otu,SDP,Okene,05/12/1956,HND in Civil Engineering,Kogi
Abiodun Obafemi,SDP,Ijumu,26/12/1951,"B.Sc., M.Sc & Doctorate Degree",Kogi
Aunka Emmanuel Uchola,SDP,Idah,12/01/1955,HND in Civil Engineering,Kogi
Abraham A. A. Ashaolu,SDP,Ekiti,08/08/1954,Doctor of Veterinary Med.,Kwara
Suleiman Oba Olola,SDP,Ilorin West,22/07/1947,B.Sc (Hons) in Bus. Admin.,Kwara
Gene Abubakar Kolo,SDP,Kaiama,17/07/1966,Doctor of Veterinary Med.,Kwara
Ishola Julius Bamidele,SDP,Irepodun,1953,HND in Business Admin.,Kwara
Bukoye Kola Ademola,SDP,Offa,04/02/1941,Library Science,Kwara
Sulaiman Ahman Patigi,SDP,Edu,23/12/1956,Cert. in English/Arabic,Kwara
Ishola Balogun,SDP,Ilorin East,22/11/1948,Advance Diploma in Public Account,Kwara
I. O. Abubakar,SDP,Ifelodun,24/11/1948,Bachelor's Degree in Eng. Literature,Kwara
Abubakar Sero Idris,SDP,Baruten,03/01/1956,Graduated from Teachers' College,Kwara
Elias Wole Muda,SDP,Asa,28/03/1951,M.Sc. and MNSE,Kwara
Isiaka Afolabi,SDP,Moro,26/10/1963,"Bachelor of Technology Degree in Architecture,",Kwara
Yekeen Olayinka Alabi,SDP,Oyun,11/11/1947,B.Sc. Degree in Econs,Kwara
Raheem S. Alawaiye,SDP,Surulere,22/05/1942,Diploma in Urban & Reg. Planning,Lagos
Omotilewa Aro-Lambo,SDP,Lagos Islan Federal,,,Lagos
Adebayo Adedin,SDP,Mushin,13/03/1950,Diploma in Insurance & Marketing,Lagos
E. A. Kolajo,SDP,Agege,15/12/1938,M.B.B.s M.D.,Lagos
Olufemi Lanlehin,SDP,Ikeja,08/08/1953,LL.B in Law,Lagos
Abimbola Adegbesan,SDP,Oshodi/Isolo,03/07/1934,LL.B (London Inter Temple),Lagos
Museli O. Mustapha,SDP,Ikorodu,02/09/1939,A.C.C.A; A.C.A.,Lagos
Adebayo Ola Amure,SDP,Epe,25/07/1932,Graduate of Medicine,Lagos
Abubakar B. Akinlolu,NRC,Oti-Osa,03/10/1951,Dr. Degree in Fin. Man.,Lagos
Wasiu Olorunosenkanti,NRC,Ibeju/Lekki,25/02/1966,B.Sc in Applied Geology,Lagos
Suarau Kabiru Akanbi,SDP,Ojo,03/01/1940,Diploma in Education,Lagos
Kosoko Oladele Idris,SDP,Badagry,20/09/1952,P.HD in Business Adm.,Lagos
Olufemi Ikuomola,SDP,Alimosho,,,Lagos
Tokunbo Afikuyomi,SDP,Lagos Mainland,,,Lagos
Wunmi Lasis,SDP,Shomolu,,,Lagos
Abdul Aliyu A. Mafillata,NRC,Magama,01/01/1948,Diploma in Sales Mgt.,Niger
Hajara L. Usman,NRC,Rafi,1956,Basic Law Degree,Niger
Mohammed Saleh,NRC,Rijau,15/06/1960,BSc. in Geography,Niger
Zachariah A. Dikko,NRC,Gurara,04/10/1949,Post Graduate Diploma in Management,Niger
Yahaya Bello,NRC,Paikoro,09/07/1952,BSc. in Industrial Education,Niger
Abubakar S. Kpautagi,NRC,Mokwa,01/01/1960,NCE,Niger
Umaru Bagudu,NRC,Lapai,10/03/1950,Certificate in Agriculture,Niger
Usman Ladan,NRC,Agale,February 1948,Majored in Building and Civil Engineering,Niger
Abdullahi M. Sani,NRC,Mariga,02/01/1949,B.Sc (Hons) in Estate Mgt.,Niger
Usman Dawuda Kutigi,NRC,Lavun,10/06/1962,HND (Admin.),Niger
Dahiru Awaisu Kuta,SDP,Minna-Chanchaga,01/05/1949,Bachelor of Arts in History,Niger
Tanko Yusuf J. B.,NRC,Bosso,06/02/1959,Special/Administration,Niger
Aliyu Moh'd Saidu,NRC,Shiroro,06/06/1954,OND,Niger
Aliyu Moh'd Halidu,NRC,Agwara,05/02/1965,Diploma in Banking & Finance,Niger
Tanko Mohammed Lokoja,NRC,Suleja,02/07/1956,NCE,Niger
M. K. Ahmed,NRC,Bida,,,Niger
Mustapha I. Lemu,NRC,Gbako,,,Niger
Musa Yellow M. Ibbi,NRC,Wushishi,,,Niger
Abdullahi Issah,NRC,Borgu,,,Niger
George A. Ibirinde,SDP,Egbado South,15/03/1936,Diploma in Adult Ed. & Comm. Development,Ogun
Olabisi Olatun Abiola,SDP,Abeokuta South,25/08/1947,GCE/O Level,Ogun
Anuola Ajose,SDP,Ado-Odo/Ota,23/07/1954,B.Sc in Economics & M.Sc. Trans Planing,Ogun
Ogundipe Israel Adisa,SDP,Odeda,01/02/1950,B.Sc in Physics/Maths,Ogun
Bisiriyu A. Popoola,SDP,Egbado North,31/12/1941,B.Sc.,Ogun
Adekunle Adeshina,SDP,Abeokuta North,29/09/1938,Graduate,Ogun
Adegbenro Adesina,SDP,Ifo,07/01/1947,Graduate,Ogun
Segun Seriki,SDP,Ijebu North,28/08/1961,Industrial Chemistry,Ogun
Kayode K. Akinsanya,SDP,Sagamu,15/07/1936,Accountancy,Ogun
Ayodele Rafiu Tekun,SDP,Ogun Waterside,03/08/1956,Post and Telecom Training School,Ogun
Lawal Remi,SDP,Ijebu Ode,28/07/1957,B.Sc (Hons) in Agricultural Economics,Ogun
Olawale Oshun,SDP,Ijebu East,26/03/1950,B.Sc. in Agricultural/Economics,Ogun
Odusanya O. Francis,SDP,Odogbolu,09/09/1942,Diploma in Social Admin.,Ogun
Ladeinde B. A.,SDP,Obafemi Owode,31/08/1953,B.Sc Pharmacy & B.Sc Optometry,Ogun
Oladipupo O. Adebutu,SDP,Ikene,,,Ogun
Korede Duyile,SDP,Idanre,16/11/1945,Master's Degree (Banking & Finance),Ondo
Ogunbameru D. A.,SDP,Okitipupa,25/05/1951,B. Ed. (Mathematics),Ondo
Olanusi Ali Olaganju,SDP,Akoko South,28/02/1942,Diploma in Business Admin.,Ondo
Wilson Rotimi Dennis,SDP,Odigbo,22/07/1962,Studied Optometry,Ondo
J. O. Ajayi,SDP,Moba,21/08/1940,Graduate in Economics,Ondo
Emmanuel Bayo Ajayi,SDP,Ikere,22/02/1946,HND in Accountancy/ Business Studies,Ondo
Ronald Olu Ogunleye,SDP,Akure,24/08/1954,Majored in Automobile Engineering and Design,Ondo
George E. Famodimu,NRC,Ekiti West,17/04/1937,Certificate in Catering and Business Management,Ondo
Akawa George Tunji,SDP,Ado-Ekiti,10/02/1960,Bachelor's Degree in Agricultural Economics,Ondo
Aboluwodu Adesunloye,SDP,Ose,22/07/1947,GCE Certificate,Ondo
James Olasehinde Esan,SDP,Emure-Ise-Orun,05/12/1950,HND,Ondo
Akintoye J. O.,NRC,Ekiti South West,20/06/1948,B.Sc Economics,Ondo
Olatunde John,NRC,Ekiti East,27/07/1928,Graduated in Agriculture/ Welding,Ondo
Paul Oguntimehin,SDP,Akoko,03/03/1946,Master's Degree in Engr.,Ondo
Adeola Alofe,SDP,Ido-Osi,03/03/1937,PGD in Ind. Management Diploma in Bible/Religious Studies,Ondo
Alomoge P. I.,SDP,Irepodun/Ifelodun,10/10/1934,Accountancy Cert,Ondo
Saliu O. Yusuf,SDP,Owo,07/07/1942,Technical Automobile Cert.,Ondo
Ige E. Ropo,SDP,Ijero,03/01/1958,B.Sc. Business Admin.,Ondo
Olatunji A. Adeyemi,SDP,Ikole,08/08/1945,Higher Education Cert.,Ondo
Olufemi Akinbobola,SDP,Ile-Oluji/Okeigbo,13/10/1937,A Graduate of Finance,Ondo
Oke Alex Olusola,SDP,Ilaje/Esw-Odo,07/04/1956,Higher Education Cert.,Ondo
Bademosi K. Adebayo,SDP,Ondo,21/02/1934,A Graduate from Finance,Ondo
Doyin Omololu,SDP,Irele,05/05/1942,Graduate from Tottenham College of Arts,Ondo
Kazeem R. Olanrewaju,SDP,Akoko North,11/03/1957,A Law Graduate,Ondo
Mike Jimi,NRC,Oye,26/01/1951,He read Medicine.,Ondo
Samuel Abiodun,SDP,Ifedore,25/12/1936,M.Sc in Economics,Ondo
Oloyede O. Ajiboye,NRC,Ife North,08/02/1965,"B.Sc in Engineering Physics, Diploma Management Studies",Osun
Moses O. Adeleke,SDP,Boripa,06/11/1936,Certificate in Education,Osun
Oladimeji J. Adeleke,SDP,Olorunda,09/04/1949,Certificate in Education,Osun
Komolafe I. Oluyemi,SDP,Ataunmosa,05/07/1957,NCE,Osun
Benedict A. Olaniyan,SDP,Ila,1948,(B.Sc.) in Insurance,Osun
Oyewunmi K. Olalere,SDP,Irewole,05/01/1960,B.Sc. in Geog & Physics,Osun
Ezekiel O. Fakayode,SDP,Ifedayo,11/10/1934,Bachelor of Art & Master of Arts in Econs,Osun
Oyesiji E. Oyebamiji,SDP,Ola-Oluwa,16/03/1939,Bachelor of Education in English,Osun
Olaoye Moses Niniola,SDP,Odo-Otin,10/05/1936,B.A in History/Religious Studies,Osun
Fasogbon John Olawale,SDP,Ife Central,23/04/1959,Secondary School Cert.,Osun
Oguntola M. Toogun,SDP,Iwo,23/09/1957,Bachelor of Science in Political Science,Osun
Olayiwola Adebiyi,SDP,Ife-South,03/09/1955,OND,Osun
Samuel A. Akinyele,SDP,Oriade,16/08/1940,Bachelor of Arts,Osun
Adewale Muibi Popoola,SDP,Osogbo,,B.Sc. Public Admin,Osun
Bamiduro Raphad,SDP,Ayedire,04/12/1947,HND,Osun
Titus Oladosie Fatokun,SDP,Obokun,05/05/1947,B.Sc in Estate Mgt.,Osun
Abioye Oyetunji,SDP,Ifelodun,12/04/1942,Degree in Pharmacy,Osun
Nimola Bolade Sarumi,SDP,Ilehsa,03/02/1955,(WAEC),Osun
Akinkunle Jaiyeola,SDP,Ejigbo,29/03/1957,B.A. Modern Language (French),Osun
A. Tajudeen Lawal,SDP,Ede,,,Osun
Oyegbile R. Adeyemo,SDP,Irepodun,,,Osun
Akinwale O. Ajetunmobi,SDP,Egbedire,,,Osun
Abimbola Opawuyi,SDP,Ayedaade,,,Osun
Owolabi-Ola Akinloye,SDP,Ibadan South-East,1937,HND in Civil Engineering,Oyo
Adebayo M. Aderemi,SDP,Lagelu,1937,B.Ed in Special Education,Oyo
Akanbi Rilwanu Adesoji,SDP,North West Ibadan,06/05/1962,Diploma in Business Mgt.,Oyo
Peter Olaoye Adepoju,SDP,Oluyole,,Diploma in Education,Oyo
Tunde Oloyede,SDP,Ifeloju,15/01/1950,Diploma in Marketing,Oyo
Oyewale A. Gbemisoye,NRC,Surulere,21/03/1953,B.Ed in Administration & Planning,Oyo
Younous Tunde Kakako,SDP,Ifedapo,10/11/1950,Degree in Business Administration,Oyo
Akinremi J. Olusegun,SDP,Ona-Ara,02/11/1953,HND Marketing & Supply,Oyo
M. J. Ajayi Ahmed,SDP,Irepo,24/08/1958,NCE,Oyo
Oyediji S. Olubunmi,SDP,Ibadan North East,,B.A in Management,Oyo
Samson Lekan Latinwo,SDP,Ibadan South West,29/04/1959,B.L.,Oyo
Oladejo Oladeji,SDP,Egbada,05/10/1938,LL.B,Oyo
Adebayo A. Musibau,SDP,Oyo,16/08/1963,B.A. Hons,Oyo
Adisa Oladipo Nureni,SDP,Ido,02/04/1962,Majored in Transport & Engineering,Oyo
Oladejo Moses Olabanji,SDP,Akinyele,28/08/1935,Grade I Certificate in Eng. And Social Science,Oyo
Mudathir Sekoni,NRC,Orelope,21/10/1953,HND in Business Admin.,Oyo
Samuel O. Oyinlola,SDP,Ibarapa,22/06/1949,(GCE),Oyo
Nicholas Ojo-Alokomaro,SDP,Ogbomoso,13/10/1952,Secondary School Cert.,Oyo
Oyelakin James Ayodeji,SDP,Ogo-Oluwa,04/10/1951,HND,Oyo
Adekunle Olukayode,SDP,Orire,03/05/1955,NCE,Oyo
Thomas Teju Oke,SDP,Ogbomoso North,17/04/1957,LL.M Degree,Oyo
Suara A. Tunde,SDP,Ibadan North,07/04/1954,Certificate in Surveying,Oyo
Oyebanji O. Adeleke,SDP,Afijio,24/12/1942,Diploma in Marketing,Oyo
Taiwo Dominic Olalere,SDP,Kajola,23/08/1959,B.A. in Education,Oyo
Adegbola M. Ademola,NRC,Iseyin,1956,"Bachelor of Law LL.B, BL Hons",Oyo
Abdullahi Kani Wuse,SDP,Awe,1960,Diploma in Accounts & Audit,Plateau
Johnson J. Zogore,SDP,Bassa,23/11/1953,B.Sc. and Master of Science Economics,Plateau
Dongs Duncil Jyem,SDP,Langtang,1950,Diploma in Account & Audit,Plateau
Yakubu Usman Shehu,SDP,Kanem,13/01/1958,HND in Agriculture,Plateau
James E. Ogason Ajamia,SDP,Karu,20/11/1945,Diploma in Accounting,Plateau
Hassan Danladi,SDP,Keffi,17/04/1956,B.Sc.,Plateau
Dashe Amos Silas,SDP,Langtang North,17/04/1956,Bachelor of Law Degree,Plateau
James Fyakfu Bakfur,SDP,Mangu,05/05/1951,B.Sc. in Agriculture,Plateau
Gobum Benka Suwa,SDP,Pankshin,,B.Sc. in Civil Engineering,Plateau
Ibrahim Idi Waziri,SDP,Wase,1962,B.Sc. in Information Stud.,Plateau
Michael Bukwal,SDP,Shendam,15/06/1959,NCE,Plateau
Damian Daloeng,SDP,Quaan-Pan,07/11/1957,"B.Ed, Master of Ed.",Plateau
Musa Sanda,SDP,Lafia,15/05/1959,LL.B and BL,Plateau
James Vwi,SDP,Bakin Ladi,01/04/1952,Bachelor of Arts in Public Admin.,Plateau
Davon Sambo B. Gyec,SDP,Jos South,05/11/1958,Diploma in Community Medicine,Plateau
Danjuma Alkali,SDP,Toko,16/01/1950,B.Sc. Degree in Business Admin.,Plateau
Amina Moh'd Aliyu,SDP,Akwanga,October 1957,Teachers II Certificate,Plateau
Abe A. Usman,SDP,Obi,05/01/1957,Graduate,Plateau
Alfred Lliya Sagai,SDP,Lokkos,18/03/1955,LL.B (Hons),Plateau
Aminu Agwon Zang,SDP,Jos North,27/04/1960,Diploma in Industrial Design,Plateau
Ogah Alex Ewolo,SDP,Nasarawa,25/12/1957,"NCE Biology, Physics Maths & Chemistry",Plateau
Umaru Saihu Ogah,NRC,Doma,February 1944,Diploma in Public Admin.,Plateau
Abims A. Ebyei,SDP,Nasarawa Eggon,,,Plateau
Chris I. Chuama,NRC,Okrika,20/01/1956,He Studied Secretariat Admin.,Rivers
Imegwu Nnabuihe,SDP,Oyigbo,02/04/1963,Graduated in Medicine,Rivers
Kpandel L. Baribor,NRC,Gokana,10/04/1959,Graduate,Rivers
E. M. Sam-Eligwe,NRC,Ahoda,29/12/1952,B.Sc. in Public Sc. & MPA,Rivers
Chris Alayae Don Pedro,NRC,Akuku-Toru,12/08/1958,Higher National Cert. in Business Studies,Rivers
Agbedi Y. Frederick,NRC,Ekeremor,20/02/1960,"Majored in English, History",Rivers
Ibiana Ibifuro Anye,SDP,Bonny,01/04/1942,Diploma in Child Health,Rivers
Igwe Mbombo Fred,NRC,Tai-Eleme,24/07/1963,Law Degree,Rivers
Friday Josiah Abigo,NRC,Tai-Eleme,24/07/1963,Law Degree,Rivers
Angolia Aboko,NRC,Abua/Oduan,13/08/1956,Degree in Education/ Management,Rivers
Samuel Lucky O. Oluo,NRC,Etche,25/10/1940,Doctorate Degree in Political Science,Rivers
Bolere Elizabeth Ketebu,NRC,Yenagoa,25/10/1954,Master's Degree in Public Health,Rivers
John Chukwuma Imegi,NRC,Ogba/Egbema/Ndoni,24/07/1963,MBA (Banking & Finance),Rivers
Enyndah Ibenyenwon,NRC,Ikwerre,23/09/1963,Master Degree in Ind. Chemistry & MBA (Finance),Rivers
Bassilo Michael,NRC,Ogbia,05/01/1959,Majored in Economics,Rivers
Felix Achinke Igwe,SDP,Obio/Akpor,12/07/1959,Diploma in Technology (Electrical),Rivers
Syder Nnodim,SDP,Emochua,17/05/1943,Studied Medicine,Rivers
Telimoye M. Oguara,NRC,Brass,,P.hd in Civil Engineering,Rivers
Sampson Gilbert Egop,NRC,Andoni/Opobo,26/12/1958,Graduate,Rivers
Eddie Esinkumo Ogoun,NRC,Sidga,25/07/1943,"AAS, B,.BA, M.A & Phd.",Rivers
Arthur C. Kalagbor,SDP,Port-Harcourt,07/03/1964,Graduate,Rivers
Linus Lebari Kpabari,NRC,Khana Rivers,05/08/1964,Studied Comparative Religion/Philosophy,Rivers
Paworiso S. Horsefall,NRC,Aswa-Toun,,,Rivers
Gushin Toun-Aregha,SDP,Sugbama,,,Rivers
Abdullahi A. A. Zurmi,NRC,Zurmi,21/02/1957,Diploma in Accounting,Sokoto
Muhammadu M. Kaya,NRC,Maradun,1956,National Diploma in Accountancy,Sokoto
Mohammed D. Yabo,NRC,Yabo,01/01/1949,School Cert.,Sokoto
Bala Umar Mahe,NRC,Kaura-Namoda,1953,NCE,Sokoto
Bala Aminu Alhaji,NRC,Sokoto,29/10/1964,Diploma in Law,Sokoto
Haruna D. Sabon-Birini,NRC,Sabon Birnin,15/01/1956,Educated,Sokoto
Absullahi M. Binji,NRC,Binji,13/04/1963,Grade II Certificate,Sokoto
Abubakar Aliyu Gumbi,NRC,Wamamko,1953,Educated,Sokoto
Abdulkadir K. M. Gusau,NRC,Gusau,16/04/1940,Educated,Sokoto
Nahuche A. Abdulkarim,NRC,Bungudu,1945,Bachelor's Degree in Ed.,Sokoto
Muhammed Usman,NRC,Bukkuyum,1955,Grade II Certificate,Sokoto
Umaru Yakubu Maru,NRC,Anka,1952,School Cert.,Sokoto
Usman Abdullahi Illela,NRC,Illela,12/12/1958,WAEC Certificate,Sokoto
Shehu Labaran,NRC,Gwadabawa,15/06/1949,Certificate of Supervision and Inspection,Sokoto
Abdullah W. Tambawal,NRC,Tambawal,16/08/1960,Diploma in Law and Diploma Journalism,Sokoto
Umaru Saidu Gada,NRC,Gada,January 1949,"NRN, RPN, DNAM",Sokoto
Mwazu Ahmed,NRC,Bakura,1946,Secondary School Cert.,Sokoto
Atiku Lima Gande,NRC,Silame,1962,Diploma in Local Govt. Administration,Sokoto
Bello Mode,NRC,Kware,04/01/1954,Bachelor's Degree in Marketing,Sokoto
Muh'd A. A. Marafa,NRC,Talata Marafa,25/12/1958,HND in Irrigation Agronomy,Sokoto
Ikira Aliyu,NRC,Tsafe,1957,Diploma in Banking and Finance,Sokoto
Garba G/Madu,NRC,Tangaza,14/04/1960,Diploma in Accountancy,Sokoto
Aliyu Shehu Achida,NRC,Wumo/Achida,20/06/1959,Educated,Sokoto
Abubakar Hagiru Dange,NRC,Dangashuni,1960,B.Sc in Vocational/Tech. Education,Sokoto
Suleman Adamu,NRC,Gummi,,,Sokoto
A. Bello Tudu Isa,NRC,Isa,,,Sokoto
Musa Usman,NRC,Goronyo,,,Sokoto
Aliyu Mohammed,NRC,Rabah,,,Sokoto
Yusuf Muazu Dorhella,NRC,,,,Sokoto
Assoshi Philip Kundila,SDP,Lau,21/04/1948,E. ED. in Language,Taraba
Haruna A. Suleiman,SDP,Ibi,,He hold IJMB 11,Taraba
Baku S. Tsokwa,SDP,Wukari,"July 27, 1954",B. Pharm (Hons),Taraba
Samuel D. Alhamdu,SDP,Zing,1964,Diploma in Theology,Taraba
Hamza Bappa M. Ribadu,NRC,Jalingo,20/02/1961,GCE,Taraba
Abbo Yakubu,NRC,Gashaka,02/06/1960,"Grade II, Teacher Cert.",Taraba
Ishaya Alawaki Andrew,SDP,Sarduana,25/09/1958,Diploma in Education,Taraba
David Abra Kwati,SDP,Yorro,02/02/1965,Grade II,Taraba
Yakubu Kashibu,NRC,Takum,1942,Certificate in Painting and Decoration,Taraba
Manwe Jerimon Samuel,SDP,Karim Lamido,26/06/1958,Diploma in Accountancy,Taraba
Ahmed Abubakar,SDP,Bali,1960,National Health Cert.,Taraba
Reuben Yahaya Garpiya,SDP,Donga,13/03/1943,HND in Secretariat Studies,Taraba
Mustapha Wa'a Kayeri,SDP,Fune,1964,GCE,Yobe
Bashir Sheriff Ahmed,SDP,Machina,05/08/1964,National Diploma in Animal Health,Yobe
Tijani Zannah Zakariya,SDP,Yusufari,27/08/1966,Secondary School Cert.,Yobe
Afuno Bulama Masaba,SDP,Bursari,1953,B.Sc,Yobe
Alhassan Adamu Tikau,SDP,Nangere,15/01/1954,B.Sc,Yobe
Sanda Yelwa,SDP,Fika,1963,LL.B (Hons) B.L.,Yobe
Umaru Audu,SDP,Geidam,10/03/1960,Diploma in Agriculture,Yobe
Ahmed Alhaji Musa,SDP,Yunusari,01/01/1960,Diploma in Local Govt. Finance & Administration,Yobe
Wakil Maidala Bularafa,SDP,Gujiba,1957,ND in Estate Management,Yobe
Madu Kolo Yawudima,SDP,Damturu,1957,Diploma in Forestry,Yobe
Sani Dahir El-Katuzu,SDP,Bade,12/09/1960,Diploma in Forestry,Yobe
Mohammed M. Nguru,SDP,Nguru,22/01/1960,B.Sc. Library and Information Science.,Yobe
Waya D. Lamarbago,PDP,Jakusko,,,Yobe
Ibrahim K. Mijindadi,NRC,Gwagwalada,1953,National Certificate of Education,Federal Capital Territory
Gaza Lazarus Zuka,SDP,Municipality,18/06/1960,"B. A in Pol. Science; M. SC, Rural Development",Federal Capital Territory
Umoru Abdullai,NRC,Abaji,,,Federal Capital Territory
Jacob E. Othman,NRC,Kuje,,,Federal Capital Territory
